Version,Title,glottocode,Year,rhotics,transcription_phon,quality_trans,quality_ling_trans,new_symbols_narr,new_symbol_comment,phoneme,phonetic,phonemic,tap_pt,tap_pm,total_rhotics,Obs_REVIEW,r_present_in_ortho,orthography_comments,observations,obs2
N,Amarasi,koto1251,2016,apical trill/tap,ɾ r,Orthographic transcription & Phonemic transcription & Phonetic transcription,both,,,r,2,5,3,0,5,,1,normal usage of r,All varieties of Uab Meto have only a single liquid_ and while in most varieties this liquid is the lateral /l/_ Amarasi is different in that its liquid is the rhotic /r/,trill initial ?
N,American English: Southern Michigan,east2835,2003,approximant alveolar voiced,ɹ ɹ̥ ɾ,"Broad transcription & Narrow transcription & Orthographic version
",both,,,ɹ,0,0,3,0,30,UPDATE I change to just counting the r in the orthographic transcription_ so now its 30 instead of 19 (Count probably underestimated since i just counted in the broad transcription and there are rhotized vowels_ and in the narrow transcrption there is tap but those are allophone of plosives so not into the count),1,normal usage of r (but double can r can exist),ɾ as allophone of / t/,
N,Assamese,stan1302,2012,approximant alveolar voiced,ɹ,"Phonetic transcription & Orthographic version
",phonetic,,,ɹ,0,NA,0,NA,43,In the illustration it is said : [r^h] is a Sanskrit remnant and occurs only in a select few words in the careful speech of educated people,NA,Assamese-bengali writting so cannot say,In contemporary Assam_ for the purposes of mass media and communication_ a certain neutral blend of eastern Assamese_ without too many distinctive eastern features_ like /ɹ/ deletion_ which is a robust phenomenon in the eastern varieties_ is still considered to be the norm \\ final positoon can be delated \\ [rʰ] is a Sanskrit remnant and occurs only in a select few words in the careful speech of educated people,
N,Australian English,aust1314,2007,approximant alveolar voiced,ɹ ɹ̥ ɾ,"Broad (phonemic) transcription
& Narrow (phonetic) transcription",both,,,r,0,11,3,0,11,the count for the approximants counted from the broad transcription_ no orthographic transcription is given,1,normal usage of r (but double can r can exist),"Standard Australian English \\ Flapping of /t/ and /d/ is tolerated in intervocalic \\ Intrusive-epenthetic /r/
position word-internally preceding weak vowels and across word boundaries. Flaps may also occur for /t/ before syllabic /l/ and /m/ and before unstressed vowels following /n/",SAusE is non-rhotic as it does not contain pre-pausal or pre-consonantal /r/
N,Azerbaijani,tabr1242,2017,ɾ,ɾ r,"Phonemic transcription & Orthographic version
",phonemic,,,ɾ,NA,5,NA,22,27,,NA,Arabic writting so cannot say,the r in the transcriptions seems to be errors,
N,Bardi,bard1255,2012,rhotic alveolar (trill)  & rhotic apicopostalveolar (approximant alveolar),r ɻ,Broad phonetic,phonetic,,,r & ɻ,30,NA,4,NA,34,,1,one r for the apico-postalveolar and two rr for the alveolar,no younger speakers of the langage \\ approximately 1_000 people identify as Bardi.,may be a tap 
N,Basaá,basa1284,2015,alveolar tap (voiced and devoiced),r  ɾ̥,Transcribed passage,unknown,yes,presence of the alveolar trill symbol,ɾ & ɾ̥,11,NA,3,NA,14,In transcription they used the r for the voiced tap and the  ɾ̥ for the voiceless tap (we inlcude both here)_ they seem to be very inconsitent throught their illustration with tap and trill symbol alternating both both voiced and voiceless segment,NA,no orthography given just phonetic/phonemic transcription but it is said that Lemb and De Gastines 1973 « employ an orthographic d in the position of the tap /tap/ » and there is a footnote page 76 (paeg 6) where it is stated that « there is no officla and widely accepted writing system »,in the transcription_ used of symbol [r],
N,Béarnais (Gascon),bear1240,2014,alveolar trill & alveolar tap,ɾ r,Transcription of recorded passage [ ] (phonetic) & Orthographic version,phonetic,,,r & ɾ,9,NA,13,NA,22,We include both trills and taps in the counts,1,one r (depending on the word position can be a phonemic trill or a phonemic tap) and two r for the phonemic trill,"The distribution of [r] and [ɾ] is somewhat constrained by their position within the syllable and with respect to word boundaries with a tendency for [r] to occur word-intially and as an onset after [n]_ and [tap] to occur in onset clusters and in the syllable coda _ but this distribution is by no means categorical \\ Convention : tendency overall for the tapped variant [ɾ] to occur as the
onset of stressed syllables and the trilled variant [r] to occur as the onset of atonic syllables",Bearnais rhotics are sometimes replaced by a uvular realisation [ʁ] which constitutes interference or transfer from French due to language contact.
N,Belgian Standard Dutch,cent2353,2005,alveolar/uvular trill,ʀ r,Orthographic  & Broad phonetic,phonetic,,,ʀ,3,NA,0,NA,30,In the table (r) is used to show that there is an alveolar trill,1,normal usage of r,"alveolar trill is most frequent and geographically most widely distributed \\ uvular trill is regionally confined to the cities of Ghent and Brussels and the province of
Limburg",Only in a very small number of cases the uvular trill was realised phonetically as a voiced uvular approximant or a voiceless uvular fricative
N,Bemba,bemb1257,2015,no,no,"Broad transcription
& Narrow transcription & Orthographic version ",both,,,no,0,0,0,0,0,,0,,,
